3,2.586989
1003,35.220831
2003,69.960659
3003,106.803191
4003,132.845936
5003,167.490584
6003,187.582234
7003,221.291861
8003,244.451868
9003,277.029915


3,0.277151
1003,38.980973
2003,74.764859
3003,107.231681
4003,133.958917
5003,173.248404
6003,196.354074
7003,233.839523
8003,264.450161
9003,294.987499


3,0.313254
1003,38.240322
2003,87.177593
3003,108.495272
4003,150.512511
5003,176.251484
6003,200.173657
7003,233.373472
8003,249.168546
9003,289.558250


3,0.281527
1003,43.630916
2003,80.868024
3003,118.770294
4003,138.842981
5003,170.189163
6003,204.683201
7003,225.034499
8003,265.994915
9003,294.236273


3,0.288821
1003,40.402467
2003,87.113775
3003,101.314135
4003,138.181100
5003,173.952222
6003,196.724946
7003,237.963608
8003,257.445161
9003,285.454951


3,0.266940
1003,53.513185
2003,82.546248
3003,114.723155
4003,133.546837
5003,171.417016
6003,195.482871
7003,242.857883
8003,256.451427
9003,294.446324


3,0.312160
1003,39.409099
2003,70.808523
3003,110.565155
4003,137.115890
5003,167.139769
6003,207.949940
7003,240.619156
8003,258.655509
9003,296.107410


3,0.363579
1003,44.408763
2003,76.886160
3003,102.975585
4003,146.159047
5003,174.155709
6003,203.099428
7003,234.255250
8003,249.268467
9003,290.228883


3,2.833508
1003,37.435854
2003,69.532533
3003,110.324472
4003,136.937200
5003,165.634400
6003,204.890700
7003,230.853583
8003,252.942909
9003,296.620868


3,0.273505
1003,43.154289
2003,73.891468
3003,113.054776
4003,148.792349
5003,167.512465
6003,197.711751
7003,242.577084
8003,260.489084
9003,283.392362


